Домен;Темы сайта;Видимость в поиске;Видимость 30 дней назад;Видимость 90 дней назад;Видимость 180 дней назад;Видимость 365 дней назад;Прогресс видимости за 30 дней;Прогресс видимости за 90 дней;Прогресс видимости за 180 дней;Прогресс видимости за 365 дней;Ключей в органике;Позиций в органике;Трафик;Ключей в контексте;Активных объявлений в контексте;Всего объявлений в контексте;Страницы;Процент в топ 1 по домену;Процент в топ 3 по домену;Процент в топ 5 по домену;Процент в топ 10 по домену;domain_organic_keywords_top20_procent;domain_organic_keywords_top30_procent;Рейтинг домена по трафику;Рейтинг домена по ключам;Пересекающиеся ключи;Похожесть
"urres.ru";"купить екатеринбурге поликарбонат забор цена 3д теплица";95.24;96.33;86.78;84.97;42.02;-1.09;8.46;10.27;53.22;1721;1722;1169;15;13;768;460;6;23;45;93;100;100;5751;5360;10;1
"ekt.profi.ru";"екатеринбург цена ремонт дому холодильник стоит замена";1078.14;1185.27;1057.31;1077.75;1079.27;-107.13;20.83;0.39;-1.13;22882;22904;13234;5221;2854;25967;15224;4;23;46;95;100;100;835;519;15;1
"gipermarketdom.ru";"екатеринбург дом купить каталог магазин товаров гипермаркет";1742.99;1727.26;1437.12;1585.87;1664.23;15.73;305.87;157.12;78.76;22522;23538;21395;14735;7265;78935;6864;5;16;32;90;100;100;572;529;15;1
"www.etsk.ru";"екатеринбурге купить тск сетка цена альянс мм";96.78;89.2;91.34;95.47;79.75;7.58;5.44;1.31;17.03;2478;2583;1188;15;14;4220;1165;4;14;29;74;100;100;5675;3899;5;1
"ekaterinburg.promportal.su";"купить екатеринбурге цена бу контейнер панели труба";84.16;77.37;50;51.1;46.33;6.79;34.16;33.06;37.83;4016;4018;1033;0;0;3;7262;1;13;29;82;100;100;6354;2546;18;1
"ek.kupiprodai.ru";"купить екатеринбурге объявления авито щенки бу котенок";764.57;751.44;1200.7;1228.96;1164.6;13.13;-436.13;-464.39;-400.03;11901;11913;9385;0;0;2;3566;1;17;42;92;100;100;1112;982;20;1
"www.sdvor.com";"екатеринбурге купить строительный двор цена каталог товаров";1581.28;1570.76;1497.27;1469.41;1462.44;10.52;84.01;111.87;118.84;21859;22853;19410;30707;4700;78083;8283;7;23;41;89;100;100;619;547;33;1
"youla.ru";"екатеринбурге купить авито объявления юла котенок бу";2197.58;2189.7;3602.76;4228.79;4351.14;7.88;-1405.18;-2031.21;-2153.56;34274;34325;26975;1;1;96;34892;2;15;34;88;100;100;483;368;37;1
"stroitesnami96.ru";"екатеринбурге купить доска брус нами стройте обрезная";16.62;17.45;18.81;16.04;14.37;-0.83;-2.19;0.58;2.25;418;419;204;0;0;7;226;4;11;26;83;100;100;22458;18675;5;1
"yandex.ru";"погода екатеринбург область карте дней 10 ул";443964.47;442518.37;430847.75;427364.65;414982.35;1446.1;13116.72;16599.82;28982.12;3239206;3748008;5449602;920399;37474;164234;3075169;12;33;49;90;100;100;2;2;198;1
"twowin.ru";"купить екатеринбурге цена поликарбонат мм лист композитная";174.18;168.83;93.95;62.98;46.14;5.35;80.23;111.2;128.04;6724;6912;2138;0;0;306;3378;4;16;32;79;99;100;3499;1626;14;1
