Ключ;Позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница;Прогресс позиций
"карьеры екатеринбурга";4;2;;1;1685;13;950;37;5;79.2;440000;"www.scheben-otsev66.ru";"/stati/karery-sverdlovskoj-oblasti";
"щебень 5 20 цена";6;4;;;5286;201;173;5;5;13.9;3000000;"www.scheben-otsev66.ru";"/price_na_scheben";
"сколько стоит камаз щебня";5;4;1;;675;156;24;5;5;12.9;2000;"www.scheben-otsev66.ru";"/price_na_scheben";0
"щебень купить в екатеринбурге с доставкой";1;6;;1;68;11;50;14;5;23.3;773000;"www.scheben-otsev66.ru";"/cat/scheben-dorozhnyi";
"что такое отсев";4;3;1;;470;94;8;5;5;33.8;5000;"www.scheben-otsev66.ru";"/stati/otsev-chto-eto-takoe-vidy-granitnyi-mramornyi-gravyinyi";0
"щпс купить в екатеринбурге";2;4;;1;9;5;7;5;5;0.3;672000;"www.scheben-otsev66.ru";"/cat/peschano-schebenochnaya-smes";0
"монетный щебеночный завод березовский свердловская область";5;6;;1;12;10;5;5;5;0.3;904000;"www.scheben-otsev66.ru";"/karyer-monetnyj";0
"щебень фракция 4 8 5 10";5;6;;;5;5;5;5;5;0.3;4000000;"www.scheben-otsev66.ru";"/cat/scheben";0
"щебень цена";5;2;;;30103;855;338;5;5;53.2;805000;"www.scheben-otsev66.ru";"/price_na_scheben";-3
"лещадный щебень";10;2;;;76;17;7;5;5;0.3;190000;"www.scheben-otsev66.ru";"/stati/chto-takoye-leshchadnost-shchebnya";
"щебень фракция 20 40";5;4;;;5504;381;99;11;5;0.3;2000000;"www.scheben-otsev66.ru";"/cat/shcheben-20-40";3
"отсев гравийный фракция 0 5 мм цена";3;7;;;36;22;12;4;4;0.3;4000000;"www.scheben-otsev66.ru";"/cat/otsev-gravijnyj";0
"щебень плотность";4;2;;;7727;86;201;19;4;49.5;40000;"www.scheben-otsev66.ru";"/stati/nasypnaya-plotnost-schebnya-po-fraktsiyam";-2
"плотность щебня 5 20";4;4;;;443;118;8;4;4;0.3;3000000;"www.scheben-otsev66.ru";"/stati/nasypnaya-plotnost-schebnya-po-fraktsiyam";-1
"цена щебня за 1 м3 с доставкой";2;7;;;924;108;35;4;4;74.9;4000000;"www.scheben-otsev66.ru";"/price_na_scheben";5
"щебень камаз";7;2;;;4582;28;176;4;4;23.7;212000;"www.scheben-otsev66.ru";"/price_na_scheben";
"щебень отсев";5;2;;;5928;94;269;4;4;22;177000;"www.scheben-otsev66.ru";"/";-2
"щебень купить в екатеринбурге с доставкой цена";4;7;;1;172;4;143;11;4;93;1000000;"www.scheben-otsev66.ru";"/price_na_scheben";-1
"отсев или песок";2;3;;;1031;12;55;4;4;7.5;224000;"www.scheben-otsev66.ru";"/stati/chto-luchshe-podkhodit-dlya-izgotovleniya-betona-pesok-ili-otsev";0
"щпс 0 40";2;3;;;773;242;13;5;4;0.3;2000;"www.scheben-otsev66.ru";"/cat/shchps-0-40";5
"где можно купить отсев для тротуарной плитки";9;7;1;;7;4;4;4;4;0.3;2000000;"www.scheben-otsev66.ru";"/cat/otsev";0
"щебень фракция";3;2;;;36352;170;860;63;4;56.9;216000;"www.scheben-otsev66.ru";"/stati/harakteristiki-shchebnya";
"гранитные карьеры свердловской области";5;4;;1;49;5;28;4;4;23.3;984000;"www.scheben-otsev66.ru";"/stati/karery-sverdlovskoj-oblasti";3
"производство щебня свердловская область";4;4;;1;7;4;4;4;4;0.3;10000;"www.scheben-otsev66.ru";"/stati/karery-sverdlovskoj-oblasti";0
"бутовый камень купить";10;3;;;1850;194;55;6;4;14.6;725000;"www.scheben-otsev66.ru";"/cat/butovyj_kamen";-3
"щебень для дренажа какая фракция";7;5;1;;463;71;10;4;4;0.3;34000;"www.scheben-otsev66.ru";"/stati/kakoj-shcheben-ispolzuetsya-dlya-drenazha";
"полигоны для вывоза грунта";10;4;;;106;13;5;5;4;11.2;264000;"www.scheben-otsev66.ru";"/vyvoz-grunta";0
"щебень 40 70 цена за 1 м3";3;7;;;101;58;9;4;4;0.3;4000000;"www.scheben-otsev66.ru";"/price_na_scheben";0
"бетонный раствор";3;2;;;6925;86;113;4;4;60.8;173000;"www.scheben-otsev66.ru";"/cat/betonnyy-rastvor";
"камаз щебня цена с доставкой";4;5;;;500;191;16;6;4;54.2;713000;"www.scheben-otsev66.ru";"/price_na_scheben";4
"куплю щебень";3;2;;;117209;146;2043;125;4;87.2;23000;"www.scheben-otsev66.ru";"/cat/scheben-dorozhnyi";2
"спецтехника екатеринбург аренда";10;3;;1;659;10;389;113;4;379.2;257000;"www.scheben-otsev66.ru";"/arenda-spetstekhniki";
"щебень м 1000 фракция 20 40 мм группа 2";4;9;;;35;15;5;4;4;0.3;3000000;"www.scheben-otsev66.ru";"/cat/shcheben-20-40";1
"щебень м800 это какой щебень";4;5;1;;127;102;4;4;4;0.3;649000;"www.scheben-otsev66.ru";"/stati/harakteristiki-shchebnya";
"щебень фр 20 40";2;4;;;1966;89;58;5;4;0.3;2000000;"www.scheben-otsev66.ru";"/cat/shcheben-20-40";
"расклинивающие фракции щебня";9;3;;;65;5;13;5;4;0.3;31000;"www.scheben-otsev66.ru";"/stati/rasklintsovka-shebnya";0
"40 70";1;2;;;177858;123;2940;541;4;0.3;1000000;"www.scheben-otsev66.ru";"/cat/shcheben-40-70";5
"сколько стоит щебень за тонну";2;5;1;;1417;55;20;6;4;12.5;802000;"www.scheben-otsev66.ru";"/price_na_scheben";0
"цена на щебень";2;3;;;861;136;13;5;4;0.3;802000;"www.scheben-otsev66.ru";"/price_na_scheben";3
"купить щебень гранитный 20 40 с доставкой";5;7;;;37;22;4;4;4;0.3;2000000;"www.scheben-otsev66.ru";"/cat/shcheben-20-40";0
"щебень 800 цена";9;3;;;153;4;8;4;4;0.3;961000;"www.scheben-otsev66.ru";"/price_na_scheben";0
"известняковый щебень";5;2;;;7400;627;69;4;4;16.11;203000;"www.scheben-otsev66.ru";"/cat/scheben-izvestnyakovyy";
"отсев это песок или щебень";2;5;;;13;12;5;4;4;0.3;74000;"www.scheben-otsev66.ru";"/stati/v-chem-raznitsa-mezhdu-otsevom-shchebnem-graviyem-i-peskom";0
"продажа щебня с доставкой";3;4;;;197;127;12;4;4;0.3;770000;"www.scheben-otsev66.ru";"/price_na_scheben";0
"заказать щебень с доставкой в екатеринбурге недорого";3;7;;1;4;4;4;4;4;0.3;624000;"www.scheben-otsev66.ru";"/price_na_scheben";1
"щебень куб цена";2;3;;;5456;59;67;4;4;67.2;721000;"www.scheben-otsev66.ru";"/price_na_scheben";0
"гост на щпс";7;3;;;119;42;5;3;3;0.3;97000;"www.scheben-otsev66.ru";"/gost-25607-2009";0
"камень бутовый";10;2;;;11479;244;161;26;3;53.7;270000;"www.scheben-otsev66.ru";"/cat/butovyj_kamen";
"щебень м800";6;2;;;1821;99;38;3;3;0.3;916000;"www.scheben-otsev66.ru";"/stati/harakteristiki-shchebnya";
"насыпная плотность отсева 0 5";10;5;;;14;6;3;3;3;0.3;3000000;"www.scheben-otsev66.ru";"/stati/vidy-otseva";-5
"пщс 0 40";6;3;;;29;4;9;3;3;0.3;3000000;"www.scheben-otsev66.ru";"/cat/shchps-0-40";0
"стоимость щебня за тонну";2;4;;;418;54;21;21;3;15.4;552000;"www.scheben-otsev66.ru";"/price_na_scheben";2
