Домен;Темы сайта;Видимость в поиске;Видимость 30 дней назад;Видимость 90 дней назад;Видимость 180 дней назад;Видимость 365 дней назад;Прогресс видимости за 30 дней;Прогресс видимости за 90 дней;Прогресс видимости за 180 дней;Прогресс видимости за 365 дней;Ключей в органике;Позиций в органике;Трафик;Ключей в контексте;Активных объявлений в контексте;Всего объявлений в контексте;Страницы;Процент в топ 1 по домену;Процент в топ 3 по домену;Процент в топ 5 по домену;Процент в топ 10 по домену;domain_organic_keywords_top20_procent;domain_organic_keywords_top30_procent;Рейтинг домена по трафику;Рейтинг домена по ключам;Пересекающиеся ключи;Похожесть
"ural-holding.com";"купить екатеринбурге блоки производителя пеноблок цена урал";20.61;22.91;27.75;28.42;25.82;-2.3;-7.14;-7.81;-5.21;471;473;253;0;0;4745;250;3;13;26;91;100;100;19113;16874;23;5
"penoblok-ekb.ru";"екатеринбурге купить твинблок цена блоки пеноблок полистиролбетонные";5.95;5.2;3.35;3.57;3.3;0.75;2.6;2.38;2.65;177;177;73;12;12;224;44;1;16;35;92;100;100;47268;38331;15;5
"www.polevskoy-mramor.com";"полевской мрамор";0.65;0.76;0.74;0.79;0.37;-0.11;-0.09;-0.14;0.28;53;53;8;0;0;6;28;2;11;15;87;100;100;189637;96807;8;5
"uik-rus.ru";"купить екатеринбурге твинблок цена плита цемент сетка";40.41;40.36;31.94;32.78;28.66;0.05;8.47;7.63;11.75;1126;1130;496;53;27;325;648;9;27;45;86;100;100;11394;7889;36;5
"ural-rudnik.ru";"щебень первоуральское стоимость тонну рудоуправление";2.61;2.77;4.94;4.85;3.02;-0.16;-2.33;-2.24;-0.41;50;53;32;5;5;56;19;23;42;51;91;100;100;82934;101466;9;5
"ekaterinburg.kamenclub.ru";"екатеринбурге плитняк купить камень 40 природный галька";2.12;2.01;0.65;0.4;0;0.11;1.47;1.72;2.12;106;106;26;0;0;0;29;4;23;45;92;100;100;94901;57548;12;5
"www.skala96.ru";"40 щебень 20";0.73;0.92;1.49;1.58;0.46;-0.19;-0.76;-0.85;0.27;23;23;9;0;0;76;10;4;9;30;91;100;100;185882;176054;6;5
"inrosko.ru";"екатеринбурге купить блок газоблок кирпич керамический газобетонные";46.52;46.91;5.21;5.25;4.39;-0.39;41.31;41.27;42.13;289;289;571;0;0;36;106;3;12;35;94;100;100;10253;25469;16;4
"landshaft-kamen.com";"екатеринбурге камень купить плитняк галтовка булыжник дагестанский";3.34;4.45;6.42;7.43;5.86;-1.11;-3.08;-4.09;-2.52;237;238;41;0;0;0;151;3;13;38;95;100;100;69907;30106;14;4
"cyxogruz.ru";"";0.41;0.42;0;0;0.37;-0.01;0.41;0.41;0.04;26;26;5;0;0;0;19;8;8;23;92;100;100;263329;161835;5;4
"uralblock.ru";"купить твинблок газоблок екатеринбурге блок цена керамический";72.02;70.74;12.48;14.76;17.85;1.28;59.54;57.26;54.17;272;272;884;0;0;42;68;22;37;55;95;100;100;7205;26815;15;4
"www.sdvor.com";"екатеринбурге купить строительный двор цена каталог товаров";1581.28;1570.76;1497.27;1469.41;1462.44;10.52;84.01;111.87;118.84;21859;22853;19410;30707;4700;78083;8283;7;23;41;89;100;100;619;547;145;4
"ekaterinburg.sip2a.ru";"16 1а зажим лэп траверса ср укоса";5.3;4.62;2.89;3.07;3.39;0.68;2.41;2.23;1.91;181;181;65;0;0;0;169;9;29;50;82;100;100;51645;37701;13;4
"xn--80aazigidfggdmg2a.xn--p1ai";"екатеринбурге купить цена мм арматура стройплатформа кирпич";150.06;149.03;98.89;122.2;121.31;1.03;51.17;27.86;28.75;3748;3762;1842;1910;537;9643;1624;4;14;28;82;99;100;3947;2711;50;4
"ekb.pulscen.ru";"екатеринбурге купить цена оптом кирпич опора пульс";48.31;46.07;61.27;65.36;53.84;2.24;-12.96;-17.05;-5.53;3030;3044;593;2153;783;2927;19594;1;6;16;68;100;100;9970;3278;45;4
"mineral-rus.com";"гост екатеринбург купить 8267 щебень ресурс бария";5.21;4.87;4.56;3.07;1.19;0.34;0.65;2.14;4.02;90;95;64;0;0;0;40;8;29;46;96;100;100;51872;65329;10;4
"sverdlovskaya-oblast.promportal.su";"купить области свердловской 16к20 токарный станок опору";4.73;3.86;6.42;10.2;11.81;0.87;-1.69;-5.47;-7.08;335;346;58;0;0;0;498;0;10;24;81;100;100;55731;22420;19;4
"astandart-eco.ru";"";0.73;0.5;0.47;0.3;0.09;0.23;0.26;0.43;0.64;43;43;9;0;0;0;30;7;28;44;91;100;100;186827;113981;6;4
"twinblock.ru";"твинблок теплит купить екатеринбурге березовский официальный цена";46.03;48.67;58.94;80.51;79.47;-2.64;-12.91;-34.48;-33.44;209;210;565;260;81;828;44;53;71;80;97;100;100;10338;33350;12;4
"ural-izvest.ru";"20 щебень негашеная известь пщс екатеринбурге купить";1.14;1.17;1.3;2.67;2.11;-0.03;-0.16;-1.53;-0.97;40;40;14;0;0;87;16;8;10;32;95;100;100;142256;120093;5;3
"uralint.ru";"купить екатеринбурге цена мм арматура лист гипсокартон";169.13;168.41;114.53;89.03;69.03;0.72;54.6;80.1;100.1;3392;3403;2076;0;0;376;1474;4;17;32;79;100;100;3577;2968;43;3
"www.panda-group.ru";"панда групп екатеринбург газозолобетонные газозолобетон блоки";1.96;1.68;1.58;1.58;1.28;0.28;0.38;0.38;0.68;51;51;24;0;0;0;31;10;18;29;76;100;100;100037;100065;5;3
"i-gbi.ru";"екатеринбурге купить жби плита блоки кольца фбс";46.52;40.87;23;19.41;16.3;5.65;23.52;27.11;30.22;1047;1052;571;0;0;0;563;14;42;59;91;100;100;10262;8413;22;3
"zavsk.ru";"опора лэп кв вл екатеринбург 110 35";5.95;7.22;7.64;8.71;7.14;-1.27;-1.69;-2.76;-1.19;222;222;73;0;0;101;187;3;22;42;83;100;100;47359;31756;11;3
"ekaterinburg.gosdorsnab.ru";"купить екатеринбурге ограждение дорожный знак пешеходное крест";11.41;11.58;4.47;3.07;1.28;-0.17;6.94;8.34;10.13;467;468;140;0;0;0;295;3;13;29;79;99;100;29659;16988;14;3
"urres.ru";"купить екатеринбурге поликарбонат забор цена 3д теплица";95.24;96.33;86.78;84.97;42.02;-1.09;8.46;10.27;53.22;1721;1722;1169;15;13;768;460;6;23;45;93;100;100;5751;5360;32;3
"ylbi.ru";"плитка екатеринбург тротуарная купить бехатон производителя недорого";4.56;7.55;7.91;4.85;0.82;-2.99;-3.35;-0.29;3.74;49;49;56;0;0;18;12;6;29;55;98;100;100;56777;102520;5;3
"www.xn--66-9kctl.xn--p1ai";"екатеринбурге купить плитка тротуарная фбс блоки производителя";4.48;5.29;9.03;12.97;11.17;-0.81;-4.55;-8.49;-6.69;191;191;55;0;0;0;201;1;7;21;84;100;100;58001;36060;11;3
"ekb.ccc1.ru";"екатеринбурге купить цена блоки пеноблок сэндвич панели";15.23;17.45;21.23;26.84;30.03;-2.22;-6;-11.61;-14.8;379;379;187;0;0;0;79;3;25;46;89;100;100;23901;20221;13;3
"opt6.ru";"песок соль таблетированная электрокорунд галит пескоструя купершлак";4.97;3.27;1.49;0.99;0.46;1.7;3.48;3.98;4.51;196;202;61;2;3;26;164;11;23;41;83;99;100;54071;35276;10;3
"www.ksmk66.ru";"жби завод екатеринбург пд6 фбс плита изделия";6.03;6.21;7.08;6.14;3.2;-0.18;-1.05;-0.11;2.83;220;222;74;0;0;0;150;5;22;36;90;100;100;47048;32042;10;3
"stroysnab66.ru";"екатеринбурге купить кирпич плитка цена тротуарная блок";267.38;255.01;88.46;42.68;38.09;12.37;178.92;224.7;229.29;1418;1423;3282;48;29;720;352;17;50;70;95;100;100;2489;6393;25;3
"zaezd-ekb.ru";"екатеринбург участка планировка";1.47;1.34;1.49;1.58;0.46;0.13;-0.02;-0.11;1.01;43;43;18;0;0;4;9;2;19;56;88;100;100;119027;112762;5;3
"ek96.su";"купить камень екатеринбурге плитняк брусчатка эпоха природный";5.87;5.87;5.31;6.34;4.58;0;0.56;-0.47;1.29;143;143;72;0;0;17;37;4;24;50;97;100;100;47653;45341;8;3
"dsk-resurs.ru";"плита кольца екатеринбург перекрытия жби купить стоимость";6.11;7.22;8.38;8.52;5.31;-1.11;-2.27;-2.41;0.8;252;252;75;523;273;1074;113;2;11;25;88;100;100;46629;28687;9;2
"www.etsk.ru";"екатеринбурге купить тск сетка цена альянс мм";96.78;89.2;91.34;95.47;79.75;7.58;5.44;1.31;17.03;2478;2583;1188;15;14;4220;1165;4;14;29;74;100;100;5675;3899;19;2
"uralksm.ru";"жби екатеринбурге кольца купить фбс ко блок";9.53;7.64;5.96;4.36;2.66;1.89;3.57;5.17;6.87;334;335;117;0;0;0;141;4;16;34;91;100;100;33797;22466;10;2
"uzhk.su";"кс св 15 ужк изделия 110 жби";6.35;6.13;3.82;3.57;2.29;0.22;2.53;2.78;4.06;367;372;78;0;0;0;266;4;17;34;84;100;100;45372;20834;10;2
"www.optimant.ru";"мощности таблица сечение екатеринбург кабеля оптима провод";17.27;16.87;12.01;7.72;5.68;0.4;5.26;9.55;11.59;782;784;212;18;18;416;494;6;23;35;80;99;100;21846;10834;11;2
"www.avito.ru";"екатеринбурге купить квартиру дом цена авито работа";82151.07;85003.93;92225.52;93774.25;92954.31;-2852.86;-10074.45;-11623.18;-10803.24;957883;995162;1008393;95503;44041;743046;711701;18;41;60;91;100;100;13;11;502;2
"psk-energo.ru";"110 10 св лэп балка ссд п15";8.55;7.89;4.38;2.28;0.73;0.66;4.17;6.27;7.82;572;572;105;0;0;19;448;5;19;39;84;100;100;36554;14297;9;2
"koldvor.ru";"екатеринбурге купить щит цена двор колхозный горный";38.37;40.11;46;53.38;49.72;-1.74;-7.63;-15.01;-11.35;975;982;471;15;9;354;679;5;12;26;84;100;100;11864;8937;12;2
"ekaterinburg.petrovich.ru";"екатеринбург купить ламинат петрович магазин строительные кирпич";62.65;54.79;23.74;1.09;0;7.86;38.91;61.56;62.65;1135;1152;769;2382;1393;1396;582;7;21;36;79;99;100;8106;7833;12;2
"vzkg.ru";"официальный взкг сайт тюмень гравия винзилинский керамзитового";6.68;6.71;6.61;8.02;7.32;-0.03;0.07;-1.34;-0.64;72;92;82;493;226;787;54;29;62;75;99;100;100;43637;77570;5;2
"ekaterinburg.lemanapro.ru";"екатеринбурге леруа мерлен купить каталог товаров цена";3110.67;3020.69;1802.96;783.63;6.28;89.98;1307.71;2327.04;3104.39;45154;46239;38183;2853;1568;9981;16487;6;16;34;88;100;100;359;285;88;2
"twowin.ru";"купить екатеринбурге цена поликарбонат мм лист композитная";174.18;168.83;93.95;62.98;46.14;5.35;80.23;111.2;128.04;6724;6912;2138;0;0;306;3378;4;16;32;79;99;100;3499;1626;46;2
