Домен;Темы сайта;Видимость в поиске;Видимость 30 дней назад;Видимость 90 дней назад;Видимость 180 дней назад;Видимость 365 дней назад;Прогресс видимости за 30 дней;Прогресс видимости за 90 дней;Прогресс видимости за 180 дней;Прогресс видимости за 365 дней;Ключей в органике;Позиций в органике;Трафик;Ключей в контексте;Активных объявлений в контексте;Всего объявлений в контексте;Страницы;Процент в топ 1 по домену;Процент в топ 3 по домену;Процент в топ 5 по домену;Процент в топ 10 по домену;domain_organic_keywords_top20_procent;domain_organic_keywords_top30_procent;Рейтинг домена по трафику;Рейтинг домена по ключам;Пересекающиеся ключи;Похожесть
"scheben-opt.ru";"купить доставкой подольске песок камень смесь песчано";1.38;1.34;1.68;1.49;0.37;0.04;-0.3;-0.11;1.01;66;67;17;0;0;0;30;4;21;37;93;100;100;125400;83077;7;5
"werton.ru";"";0.81;0.76;0.65;0.5;0;0.05;0.16;0.31;0.81;58;58;10;0;0;0;25;3;17;40;95;100;100;167512;90658;7;5
"iso-altair.ru";"щебня плотность лещадность уплотнения коэффициент";0.98;1.01;0.84;0.5;0;-0.03;0.14;0.48;0.98;32;32;12;0;0;0;21;0;16;41;100;100;100;155913;140191;5;5
"www.rinova-stroy.ru";"камень грунт плавун бутовый";0.73;0.67;0.37;0.4;0;0.06;0.36;0.33;0.73;33;33;9;0;0;0;11;3;12;30;91;100;100;181788;136268;5;5
"atom-market.ru";"екатеринбурге купить твинблок теплит плитка цена тротуарная";19.39;18.96;14.53;11.59;10.16;0.43;4.86;7.8;9.23;422;424;238;2;2;578;111;2;14;38;93;100;100;20072;18545;13;4
"www.tg-stroy.ru";"применение песок щебень каменного глины троицке угля";3.01;2.94;2.7;1.88;1.19;0.07;0.31;1.13;1.82;74;77;37;3;3;3;36;19;34;51;96;100;100;75574;76177;7;4
"samosval.info";"самосвалов работа свердловской карьер области екатеринбург щебень";2.77;3.1;5.12;4.65;5.31;-0.33;-2.35;-1.88;-2.54;105;105;34;1;1;1;87;4;15;35;85;100;100;80476;58230;5;3
"www.betongrupp-ekb.ru";"екатеринбурге купить тротуарная плитка цена бетон лэп";7.41;7.3;7.82;12.08;9.52;0.11;-0.41;-4.67;-2.11;336;337;91;0;0;24;360;2;14;31;90;100;100;40755;22386;9;3
"ekb.zakteh.ru";"экскаватор погрузчик екатеринбург аренда спецтехника jcb";0.9;0.59;0.74;0.89;0.82;0.31;0.16;0.01;0.08;75;75;11;0;0;52;48;0;5;12;89;100;100;161167;75077;5;3
"xn--80acehqg1abgbqfmdl.xn--p1ai";"купить екатеринбурге отсев жби кольца доставкой цена";3.01;5.96;7.26;7.82;2.66;-2.95;-4.25;-4.81;0.35;84;84;37;2;2;86;45;4;10;36;94;100;100;74727;68732;5;3
"zlatolit-ural.ru";"плитняк купить екатеринбурге камень";4.64;4.36;3.91;2.87;1.37;0.28;0.73;1.77;3.27;111;111;57;0;0;10;44;10;42;55;93;100;100;56544;55723;5;3
"beton-ekaterinburg.ru";"бетон екатеринбурге цена купить доставкой куб м3";23.22;21.57;17.04;13.07;5.22;1.65;6.18;10.15;18;263;263;285;0;0;0;54;16;51;68;98;100;100;17396;27616;5;2
"www.xn--66-9kctl.xn--p1ai";"екатеринбурге купить плитка тротуарная фбс блоки производителя";4.48;5.29;9.03;12.97;11.17;-0.81;-4.55;-8.49;-6.69;191;191;55;0;0;0;201;1;7;21;84;100;100;58001;36060;6;2
"ekb.pulscen.ru";"екатеринбурге купить цена оптом кирпич опора пульс";48.31;46.07;61.27;65.36;53.84;2.24;-12.96;-17.05;-5.53;3030;3044;593;2153;783;2927;19594;1;6;16;68;100;100;9970;3278;21;2
"stroitesnami96.ru";"екатеринбурге купить доска брус нами стройте обрезная";16.62;17.45;18.81;16.04;14.37;-0.83;-2.19;0.58;2.25;418;419;204;0;0;7;226;4;11;26;83;100;100;22458;18675;7;2
"ural.rosavtodor.gov.ru";"гост 1770 уралуправтодор екатеринбург официальный сайт 8735";22.97;21.65;15.46;15.25;11.81;1.32;7.51;7.72;11.16;278;284;282;0;0;0;117;24;48;61;98;100;100;17566;26368;5;2
"ugph.ru";"екатеринбург мазуркевич сергей уральский угпх ооо леонидович";32.67;33.82;35.48;38.82;41.57;-1.15;-2.81;-6.15;-8.9;160;162;401;0;0;7;40;43;60;74;93;100;100;13489;41549;5;2
"www.mos.ru";"москва гост карта справка получить постановление рф";840.74;866.23;967.36;1006.05;990.28;-25.49;-126.62;-165.31;-149.54;15783;16253;10320;0;0;12;4933;14;27;42;94;100;100;1020;746;17;1
