запрос,частота,причина,родитель
"фильм море горе море горы керамзит","16","minus:фильм","керамзит"
"фильм море горы керамзит","16","minus:фильм","керамзит"
"смотреть фильм керамзит","15","minus:фильм","керамзит"
"керамзит челябинск","14","minus:челябинск","керамзит"
"смотреть фильм море керамзит","13","minus:фильм","керамзит"
"завод керамзита тюмень","11","minus:тюмен","керамзит"
"керамзит пермь","11","minus:перм","керамзит"
"смотреть фильм горе море керамзит","9","minus:фильм","керамзит"
"смотреть фильм горы керамзит","9","minus:фильм","керамзит"
"смотреть фильм море горы керамзит","9","minus:фильм","керамзит"
"керамзит купить в челябинске","8","minus:челябинск","керамзит"
"крупнообломочные скальные грунты","3","minus:моч","скальный грунт"
"грунт скальный крупнообломочный гост 25100 2020","1","minus:моч","скальный грунт"
"глина майнкрафт","153","minus:майнкрафт","глина"
"глина краснодарский край","64","minus:краснодар","глина"
"краснодарская глина","64","minus:краснодар","глина"
"белая глина краснодарский","63","minus:краснодар","глина"
"белая глина краснодарский край","63","minus:краснодар","глина"
"глина песни","47","minus:песни","глина"
"рисунок из глины","44","minus:рисун","глина"
"тесто глина","40","minus:тесто","глина"
"скачать глине","37","minus:скачать","глина"
"глина фильм","37","minus:фильм","глина"
"статуэтки из глины","36","minus:тату","глина"
"майнкрафт глина где","35","minus:майнкрафт","глина"
"суглинок в тюмени","2","minus:тюмен","суглинок"
"мы суглинки белые собачки песня","2","minus:песня","суглинок"
"песня суглинки белые","2","minus:песня","суглинок"
"суглинки песня","2","minus:песня","суглинок"
"суглинки собачки песня","2","minus:песня","суглинок"
"заказать асфальтная крошка срез курган","10","minus:курган","асфальтная крошка"
"асфальтная крошка пермь","8","minus:перм","асфальтная крошка"
"купить асфальтную крошку в перми","4","minus:перм","асфальтная крошка"
"асфальтная крошка тюмень","1","minus:тюмен","асфальтная крошка"
"доставка щебня москва","6","minus:москв","доставка щебня"
"доставка щебня в челябинске","4","minus:челябинск","доставка щебня"
"доставка щебня омск","3","minus:омск","доставка щебня"
"доставка щебня в спб","2","minus:спб","доставка щебня"
"доставка щебня цена челябинск","2","minus:челябинск","доставка щебня"
"доставка щебня москва цена","2","minus:москв","доставка щебня"
"доставка щебня в новосибирске","2","minus:новосибирск","доставка щебня"
"доставка щебня в перми","1","minus:перм","доставка щебня"
"доставка сахарного песка","3","minus:сахарн","доставка песка"
"сахарный песок доставка на дом","3","minus:сахарн","доставка песка"
"доставка песок курган","2","minus:курган","доставка песка"
"доставка песка пермь","1","minus:перм","доставка песка"
"доставка песка пермь цена","1","minus:перм","доставка песка"
"доставка песка петербург","1","minus:петербург","доставка песка"
"доставка песка санкт петербург","1","minus:петербург","доставка песка"
"камаз песка тюмень","6","minus:тюмен","камаз песка"
"сколько стоит камаз песка в тюмени","2","minus:тюмен","камаз песка"
"наполнитель для дренажа вместо щебня","1","minus:наполнител","щебень для дренажа"
"отсыпка участка челябинск","2","minus:челябинск","отсыпка участка"
"отсыпка участка тюмень","1","minus:тюмен","отсыпка участка"
"купить щебень пермский край","18","minus:перм","купить щебень"
"белый мраморный щебень купить в тюменской области","16","minus:тюмен","купить щебень"
"купить щебень в москве","16","minus:москв","купить щебень"
"купить щебень в омске","12","minus:омск","купить щебень"
"купить щебень в челябинске","9","minus:челябинск","купить щебень"
"купить мраморный щебень в омске","9","minus:омск","купить щебень"
"купить щебень пермский край губаха","7","minus:перм","купить щебень"
"щебень купить в челябинской области","6","minus:челябинск","купить щебень"
"щебень купить спб","6","minus:спб","купить щебень"
"купить щебень петербург","5","minus:петербург","купить щебень"
"щебень в мешках купить в перми","5","minus:перм","купить щебень"
"щебень купить в курганово","5","minus:курган","купить щебень"
"купить щебень москва 40","4","minus:москв","купить щебень"
"купить щебень в санкт петербурге","4","minus:петербург","купить щебень"
"купить белый щебень в тюмени","4","minus:тюмен","купить щебень"
"щебень декоративный купить в тюмени","4","minus:тюмен","купить щебень"
"мраморный щебень купить в москве","4","minus:москв","купить щебень"
"купить щебень 40 тюмень","4","minus:тюмен","купить щебень"
"купить щебень в тюмени недорого","3","minus:тюмен","купить щебень"
"купить щебень в новосибирске","3","minus:новосибирск","купить щебень"
"купить зил щебня в челябинске","2","minus:челябинск","купить щебень"
"купить щебень 20х40 в челябинске зил","2","minus:челябинск","купить щебень"
