Ключ;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Главных страниц в топ 10;Главных страниц в топ 50;PPC объявления;Вес ключа
"пщс";1;;;1972;165;237;30;21;18.6;2000000;0;0;0;2
"купить песок и щебень с доставкой";6;;;454;24;3;2;2;0.3;843000;6;6;0;2
"скала доставка";2;;;136;8;29;3;3;2.5;481000;0;0;0;2
"сколько стоит камаз щебня в екатеринбурге";6;1;1;14;11;10;10;10;15.1;713000;0;0;0;2
"купить песок в екатеринбурге";4;;1;668;19;483;39;12;39.8;765000;1;1;0;2
"купить песок природный для строительных работ";6;;;74;4;5;5;3;0.3;1000000;0;0;0;2
"купить пгс с доставкой цена";5;;;322;18;5;2;2;0.3;1000000;0;0;3;2
"сколько стоит щебень за тонну";5;1;;1417;55;20;6;4;12.5;802000;0;0;0;2
"песок доставка";2;;;51960;80;339;3;2;74.3;541000;0;0;9;2
"песок купить в екатеринбурге с доставкой цена за куб";9;;1;64;9;43;5;5;23.2;1000000;0;0;9;2
"песок строительный цена за 1 м3 с доставкой екатеринбург";9;;1;8;7;6;5;5;0.3;3000000;0;0;11;2
"мраморный отсев купить";3;;;45;6;2;2;2;0.3;755000;0;0;7;2
"бутовый камень купить";3;;;1850;194;55;6;4;14.6;725000;0;0;0;2
"асфальт екатеринбург";2;;1;810;8;451;10;7;14.1;237000;4;4;2;2
"щебень с доставкой купить";4;;;24405;51;476;3;2;28.2;757000;0;0;0;2
"бутовый камень купить в екатеринбурге";5;;1;11;5;4;4;2;20.7;737000;0;0;0;2
"щебень гравийный 40 70 с доставкой";6;;;58;33;6;6;6;0.3;14000;0;0;0;2
"щебень мелкой фракции";3;;;1410;98;40;9;9;43.2;304000;0;0;0;2
"скальник для отсыпки дорог";4;;;10;6;4;3;3;0.3;607000;0;0;1;2
"гравий цена за тонну";4;;;156;11;3;2;2;0.3;853000;0;0;0;2
"холодный асфальт от производителя";4;;;65;8;2;2;2;0.3;474000;2;2;9;2
"щебень 20 40 с доставкой";5;;;2252;9;187;3;3;99.1;2000000;1;1;10;2
"щебень с доставкой";3;;;32411;136;864;8;8;50.7;569000;0;0;9;2
"смесь песчано гравийная природная купить";5;;;17;3;3;3;3;0.3;827000;0;0;0;2
"асфальт цена";2;;;14342;165;244;5;4;94.2;778000;0;0;0;2
"щпс купить";2;;;1081;285;13;2;2;91;756000;0;0;1;2
"где купить песок для песочницы";5;1;;21;10;2;2;2;18.6;1000000;0;0;0;2
"песчано гравийная смесь купить в екатеринбурге";6;;1;13;9;9;9;6;17.4;751000;0;0;4;2
