Ключ;Вес ключа;Похожесть на исходные фразы;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Главных страниц в топ 10;Главных страниц в топ 50;PPC объявления
"щебенка";2;5;1;;;48204;1821;550;33;30;44.1;1000000;0;0;0
"щебень навалом";2;4;2;;;143;13;10;2;2;0.3;177000;0;0;8
"купить отсев в мешках в екатеринбурге";2;4;6;;1;123;15;93;53;14;40.4;878000;0;0;9
"каменная крошка";2;4;2;;;5649;199;118;2;2;11.6;220000;0;0;0
"керамзит в бигбегах цена за 1 м3 с доставкой";2;4;9;;;84;67;3;2;2;0.3;4000000;0;0;9
"отсев для тротуарной плитки купить в мешках";2;4;7;;;85;53;8;8;8;0.3;826000;0;0;9
"скальники скалолаз";2;4;2;;;8;3;3;2;2;0.3;184000;1;1;0
"холодный асфальт от производителя";3;4;4;;;65;8;2;2;2;0.3;474000;2;2;9
"сухой асфальт в мешках";2;4;4;;;875;177;11;5;3;11.3;267000;0;0;0
"керамзит купить в москве";2;4;4;;1;528;43;2;2;2;0.3;1000000;2;2;9
"купить щебень мелкой фракции";2;4;4;;;116;13;6;2;2;0.3;692000;0;0;0
"керамзит мешки купить";2;3;3;;;6456;2;101;2;2;0.3;810000;0;0;10
"асфальт в мешках";2;3;3;;;3110;199;59;5;5;10.5;268000;0;1;0
"щебень купить";2;3;2;;;44758;712;610;24;20;98.2;774000;0;0;0
"про щебень екатеринбург";2;3;3;;1;10;5;7;5;4;68.6;761000;1;1;0
"сургут керамзит";2;2;2;;1;126;3;10;2;2;0.3;55000;1;1;8
